NextInspectionDate,AircraftId,ModelName,FuelCapacity,SquadronId,StockId,FuelTypeId
2025-10-16,46,SkyForce 6500,4766,312,16,17
2025-08-05,47,SkyHawk 3300,5262,336,96,17
2025-10-23,48,ThunderBlade 17900,4938,342,371,12
2025-09-28,49,WingForce 22700,6751,376,221,2
2025-06-14,50,AirWing 400,7013,315,103,4
2025-07-25,51,SkySwift 16400,6580,250,141,2
2025-10-24,52,AeroJet 17300,3366,191,110,11
2025-08-04,53,AeroBlade 300,3079,15,287,8
2025-08-16,54,WingForce 14300,4356,219,64,5
2025-07-09,55,JetStream 100,5691,194,72,13
2025-09-24,56,FleetSwift 11900,4517,98,256,17
2025-06-30,57,AirSwift 7400,6421,191,268,9
2025-07-14,58,AeroRider 23000,3790,57,136,17
2025-07-27,59,AirForce One 2800,3257,383,295,16
2025-06-16,60,SkySwift 21800,7867,184,218,19
2025-06-24,61,SkyWave 12200,3852,185,100,1
2025-06-23,62,Thunderbird X,5754,131,383,4
2025-10-14,63,CloudRider 6200,6600,52,240,1
2025-06-15,64,SkyBlade 15200,6789,28,397,18
2025-10-27,65,ThunderBlade 17900,6317,73,295,16
2025-09-24,66,SkyBlade 23600,5101,149,319,20
2025-08-17,67,WingBlade 5600,3758,57,330,11
2025-10-28,68,FleetJet 16100,6273,398,217,18
2025-09-11,69,StarCruiser 3900,5385,1,299,20
2025-10-01,70,CloudMaster 10700,7164,374,177,18
2025-06-01,71,Thunderbird X,7916,189,6,7
2025-10-15,72,SkyBlaster 11000,5480,77,17,18
2025-10-25,73,SkyMaster 17600,6825,368,327,8
2025-06-26,74,SkyMaster 700,3713,242,164,5
2025-06-16,75,AeroJet 5900,4483,270,271,12
2025-08-19,76,FalconWing 8300,7099,337,287,8
2025-09-03,77,FleetJet 16100,6251,237,50,11
2025-07-12,78,FleetMaster 2500,4705,63,187,8
2025-09-25,79,SkyHawk 3300,4646,70,210,11
2025-08-13,80,SkyMaster 17600,3838,8,122,3
2025-06-25,81,FlightBlade 9800,3999,20,44,5
2025-09-15,82,JetForce 15500,3966,380,113,14
2025-06-18,83,ThunderBlade 17900,6396,147,8,9
2025-09-11,84,FlightPro 600,3529,183,123,4
2025-10-29,85,AirSwift 7400,3454,162,302,3
2025-06-13,86,SkyHawk 3300,4744,288,252,13
2025-10-01,87,AeroForce 10400,5530,161,249,10
2025-08-20,88,AeroLiner 21500,3124,396,140,1
2025-07-30,89,StarForce 8600,6048,19,237,18
2025-06-23,90,FleetJet 16100,4710,49,249,10
2025-08-14,91,AirBlade 20000,5582,91,171,12
2025-09-01,92,JetLiner 3000,7207,376,249,10
2025-08-23,93,JetWave 4800,5460,396,248,9
2025-08-01,94,AeroSwift 18800,6199,56,31,12
2025-10-27,95,FleetMaster 2500,6861,379,331,12
2025-09-14,96,ThunderBlade 22100,4452,331,109,10
2025-07-16,97,SkyLiner 8000,7720,299,399,20
2025-06-14,98,AeroForce 10400,3349,260,198,19
2025-09-16,99,WingJet 10100,7858,192,347,8
2025-07-07,100,JetForce 15500,7011,183,13,14
2025-08-30,101,AirRider 15800,4154,271,362,3
2025-07-22,102,Thunderbolt 2200,3100,336,236,17
2025-06-24,103,SkyBlade 15200,3359,91,32,13
2025-10-28,104,AirWing 5000,5647,184,29,10
2025-10-07,105,FalconMaster 20900,3979,399,220,1
2025-09-14,106,JetMaster 7700,5650,143,294,15
2025-06-20,107,JetWave 4800,5763,33,34,15
2025-07-22,108,AeroRider 14600,4448,364,63,4
2025-07-27,109,FalconBlade 16700,5248,49,65,6
2025-09-06,110,SkyBlaster 11000,3608,94,219,20
2025-07-13,111,AeroMax 4200,3075,344,65,6
2025-06-02,112,SkyBlade 15200,6439,33,257,18
2025-08-24,113,JetRider 11300,4307,244,162,3
2025-06-29,114,FalconEye 3600,6453,131,268,9
2025-08-15,115,AirWing 5000,3806,109,125,6
2025-09-29,116,Falcon 9000,6498,204,189,10
2025-06-22,117,SkySwift 13400,6434,387,336,17
2025-07-31,118,FalconMaster 20900,4744,11,185,6
2025-09-23,119,CloudJet 14900,6655,164,397,18
2025-09-24,120,AeroStream 8900,7181,185,218,19
2025-09-02,121,FalconBlade 16700,6284,199,46,7
2025-10-06,122,WingForce 14300,5298,125,38,19
2025-06-25,123,SkyBlade 15200,3971,362,63,4
2025-09-14,124,JetForce 23900,5953,230,2,3
2025-08-21,125,Thunderbolt 2200,4383,180,46,7
2025-10-21,126,AeroLiner 13100,5342,305,63,4
2025-09-21,127,FlightForce 18200,7809,336,174,15
2025-09-02,128,SkyMaster 700,4216,213,30,11
2025-07-30,129,FalconMaster 20900,4332,218,191,12
2025-06-15,130,FalconEye 3600,6220,123,203,4
2025-10-14,131,FalconMaster 20900,5969,285,236,17
2025-09-18,132,FlightWing 14000,4086,89,264,5
2025-06-11,133,SkyBlaster 19400,4265,318,150,11
2025-10-10,134,StarJet 21200,5234,237,316,17
2025-06-06,135,SkyMaster 700,5771,30,291,12
2025-07-24,136,JetLiner 3000,5286,386,88,9
2025-08-22,137,FleetBlaster 7100,4877,32,197,18
2025-06-16,138,CloudMaster 10700,7867,114,342,3
2025-06-08,139,JetRider 11300,3169,77,110,11
2025-08-19,140,SkyBlazer 4500,4507,272,37,18
2025-09-15,141,FlightBlade 9800,3265,377,358,19
2025-06-24,142,AirWing 5000,5320,379,259,20
2025-07-08,143,SkyRider 1800,7436,102,311,12
2025-08-20,144,JetMaster 7700,3034,236,42,3
2025-07-09,145,FleetMaster 2500,7940,389,188,9
2025-09-21,146,SkyBlade 15200,3256,287,41,2
2025-10-26,147,AeroStream 8900,4182,156,267,8
2025-06-15,148,StarCruiser 3900,7805,392,21,2
2025-08-12,149,SkyBlazer 4500,7772,306,398,19
2025-10-28,150,FlightBlade 9800,5117,318,223,4
2025-10-24,151,SkySwift 21800,3220,285,278,19
2025-10-16,152,ThunderWing 6800,3391,381,363,4
2025-06-17,153,SkyBlaster 11000,5625,273,158,19
2025-08-07,154,AeroStream 8900,4865,70,14,15
2025-08-13,155,FalconMaster 12500,4811,78,150,11
2025-06-17,156,WingForce 14300,5415,137,151,12
2025-10-19,157,JetStream 100,5765,26,262,3
2025-09-29,158,ThunderBlade 13700,6011,111,12,13
2025-09-07,159,FleetSwift 11900,6160,8,240,1
2025-07-27,160,Thunderbolt 2200,6338,308,80,1
2025-06-16,161,FlightBlade 9800,5851,6,74,15
2025-06-06,162,AirBlade 11600,5817,21,26,7
2025-10-10,163,AirWing 5000,5235,101,17,18
2025-07-05,164,AeroLiner 21500,6103,61,196,17
2025-08-05,165,SkyForce 6500,6051,262,297,18
2025-07-10,166,SkyMaster 700,7880,167,181,2
2025-06-01,167,SkyBlade 23600,6520,60,122,3
2025-07-01,168,AirBlade 20000,4511,17,390,11
2025-09-14,169,FalconEye 3600,5716,93,350,11
2025-07-05,170,FalconWing 8300,7163,131,269,10
2025-06-24,171,AeroForce 10400,3776,19,145,6
2025-06-19,172,Falcon 9000,3088,229,314,15
2025-07-27,173,SkySwift 21800,5325,183,152,13
2025-10-20,174,CloudJet 14900,5199,75,317,18
2025-10-10,175,SkyPro 9200,6308,273,143,4
2025-06-10,176,SkyWave 20600,3956,340,210,11
2025-08-29,177,JetRider 11300,4235,66,155,16
2025-08-26,178,SkyRider 1800,5015,187,366,7
2025-10-24,179,AeroLiner 21500,4667,340,239,20
2025-10-25,180,Starjet 500,5875,142,145,6
2025-07-20,181,FleetSwift 20300,5006,182,19,20
2025-08-01,182,StarJet 21200,7800,384,302,3
2025-07-19,183,AeroLiner 13100,3364,400,145,6
2025-10-10,184,AeroJet 17300,5205,262,391,12
2025-09-05,185,AeroSwift 18800,6008,57,58,19
2025-09-12,186,StarJet 12800,3682,366,357,18
2025-08-24,187,SkyBlade 15200,4320,229,87,8
2025-09-24,188,Falcon 9000,3377,379,387,8
2025-10-15,189,AeroMax 4200,6934,155,226,7
2025-10-03,190,StarJet 21200,6338,384,325,6
2025-08-22,191,SkyBlaster 19400,7501,50,115,16
2025-09-08,192,JetForce 15500,5122,265,293,14
2025-08-31,193,WingStar 800,4445,234,334,15
2025-09-20,194,StarRider 17000,6396,218,24,5
2025-10-02,195,StarJet 21200,4109,71,366,7
2025-06-29,196,CloudMaster 19100,7065,53,42,3
2025-08-20,197,CloudRider 6200,3597,322,228,9
2025-10-09,198,CloudRider 6200,7709,142,224,5
2025-08-06,199,Starjet 500,5396,374,345,6
2025-10-05,200,FalconWing 8300,6428,183,274,15
2025-09-30,201,StarRider 17000,4015,108,88,9
2025-09-19,202,StarForce 8600,3102,378,79,20
2025-08-04,203,AeroSwift 1200,3111,82,36,17
2025-07-19,204,SkyMaster 700,7693,282,31,12
2025-07-23,205,ThunderBlade 17900,7017,103,288,9
2025-06-13,206,WingStar 800,6945,219,75,16
2025-09-30,207,FlightForce 18200,6687,119,184,5
2025-10-12,208,AirSwift 7400,7387,228,10,11
2025-09-11,209,AirWing 5000,5644,228,276,17
2025-06-09,210,FlightWing 14000,3085,315,389,10
2025-10-20,211,SkyMaster 17600,6074,207,293,14
2025-10-27,212,FlightBlade 9800,4830,14,290,11
2025-09-30,213,SkyBlaster 11000,3989,185,383,4
2025-06-02,214,JetMaster 7700,7194,391,355,16
2025-10-24,215,CloudRider 6200,5372,354,365,6
2025-09-30,216,AeroSwift 18800,5155,93,62,3
2025-07-27,217,AirRider 24200,7153,113,64,5
2025-07-01,218,FalconBlade 16700,7461,307,271,12
2025-07-29,219,WingRider 18500,4674,89,14,15
2025-06-04,220,StarJet 12800,6014,219,372,13
2025-07-01,221,JetForce 23900,4246,190,270,11
2025-09-02,222,FleetJet 24500,7801,1,144,5
2025-07-02,223,JetForce 15500,6959,355,231,12
2025-06-25,224,Skyhawk 2000,3650,64,96,17
2025-09-18,225,FleetJet 24500,5780,76,182,3
2025-09-25,226,JetMaster 7700,3651,329,196,17
2025-08-01,227,SkyBlade 23600,3717,108,33,14
2025-06-06,228,FlightWing 14000,3942,198,340,1
2025-07-19,229,AirWing 5000,6385,270,333,14
2025-08-05,230,AirForce One 2800,4118,334,343,4
2025-08-06,231,JetRider 11300,5069,90,286,7
2025-06-05,232,WingRider 18500,3178,83,112,13
2025-08-26,233,ThunderRider 9500,7657,252,203,4
2025-09-18,234,AeroBlade 300,6345,12,172,13
2025-06-01,235,StarCruiser 3900,5885,364,32,13
2025-09-24,236,FalconMaster 12500,5178,3,393,14
2025-08-21,237,SkyWave 12200,3228,368,269,10
2025-10-05,238,FleetJet 16100,4080,356,153,14
2025-06-26,239,Thunderbolt 2200,5308,181,302,3
2025-09-08,240,SkyWave 12200,7958,274,310,11
2025-07-28,241,CloudJet 14900,5536,62,385,6
2025-06-14,242,StarJet 12800,6228,334,88,9
2025-06-23,243,FlightMaster 5300,3329,49,45,6
2025-07-07,244,FleetMaster 2500,4283,363,123,4
2025-07-05,245,StarForce 8600,7244,357,93,14
2025-09-07,246,SkyWave 12200,3565,151,267,8
2025-08-20,247,FlightForce 18200,7017,80,124,5
2025-10-05,248,AeroSwift 18800,4365,206,251,12
2025-07-05,249,Skyhawk 2000,3976,175,64,5
2025-09-17,250,FlightWing 22400,6894,46,339,20
2025-09-05,251,SkyLiner 8000,4425,362,359,20
2025-07-14,252,CloudRider 6200,4327,246,69,10
2025-08-02,253,FalconMaster 12500,7040,5,236,17
2025-07-04,254,Falcon 9000,7465,30,82,3
2025-10-02,255,CloudMaster 10700,6599,124,341,2
2025-10-04,256,AeroRider 23000,6159,365,213,14
2025-09-25,257,FleetSwift 11900,5566,25,102,3
2025-06-29,258,FalconMaster 12500,3715,277,47,8
2025-06-29,259,FleetSwift 11900,6745,333,25,6
2025-07-29,260,SkyHawk 3300,7347,379,20,1
2025-06-27,261,WingForce 14300,5340,172,138,19
2025-10-15,262,WingStar 800,4462,336,347,8
2025-07-25,263,CloudRider 6200,7855,20,344,5
2025-10-09,264,AeroRider 14600,7797,73,366,7
2025-09-17,265,AirRider 15800,6804,194,205,6
2025-06-25,266,JetWave 4800,5451,228,44,5
2025-07-06,267,FalconMaster 20900,5641,175,331,12
2025-07-25,268,AeroRider 14600,3976,115,233,14
2025-09-16,269,FalconMaster 20900,6285,331,274,15
2025-09-01,270,AeroStream 8900,6651,88,285,6
2025-10-21,271,FleetSwift 11900,6558,82,40,1
2025-09-09,272,AeroSwift 1200,4619,288,83,4
2025-08-25,273,JetForce 15500,6486,144,266,7
2025-06-22,274,CloudMaster 19100,7333,367,328,9
2025-07-19,275,SkySwift 16400,7646,329,364,5
2025-07-30,276,WingStar 800,3660,24,276,17
2025-07-31,277,CloudMaster 10700,3750,206,310,11
2025-07-21,278,SkyBlade 23600,6344,209,114,15
2025-10-13,279,WingBlade 5600,7775,344,127,8
2025-06-29,280,SkyRider 1800,3029,345,386,7
2025-10-08,281,FleetSwift 11900,5861,115,113,14
2025-07-29,282,FalconMaster 20900,6809,42,364,5
2025-10-07,283,CloudMaster 10700,4065,389,350,11
2025-08-21,284,Starjet 500,4535,303,85,6
2025-09-01,285,SkySwift 16400,3912,287,68,9
2025-10-07,286,SkyLiner 8000,3860,97,98,19
2025-07-23,287,AeroStream 8900,7833,157,33,14
2025-10-10,288,FleetBlaster 7100,6749,158,25,6
2025-07-28,289,StarForce 8600,3764,183,400,1
2025-07-09,290,AeroMax 4200,4189,368,382,3
2025-08-03,291,AirWing 400,6607,40,14,15
2025-10-05,292,AirBlade 11600,3481,395,147,8
2025-09-27,293,FlightWing 14000,6895,133,296,17
2025-07-29,294,FleetMaster 2500,4555,400,159,20
2025-09-05,295,FlightMaster 5300,6775,99,35,16
2025-07-05,296,AeroMax 4200,4851,144,326,7
2025-09-16,297,ThunderBlade 22100,6816,7,258,19
2025-08-14,298,FlightWing 22400,4338,197,27,8
2025-09-25,299,AeroMax 4200,6403,298,91,12
2025-09-05,300,ThunderBlade 13700,3259,344,247,8
2025-07-21,301,ThunderBlade 22100,3076,333,90,11
2025-07-14,302,WingRider 18500,6050,262,119,20
2025-10-02,303,StarForce 8600,5298,330,32,13
2025-10-31,304,AeroJet 5900,4331,271,309,10
2025-07-15,305,WingJet 10100,3639,263,126,7
2025-07-15,306,StarJet 21200,4824,51,146,7
2025-09-20,307,CloudMaster 10700,5914,176,389,10
2025-06-28,308,AirSwift 7400,7342,288,156,17
2025-07-29,309,FalconWing 8300,3058,128,226,7
2025-06-14,310,FleetSwift 11900,7840,9,64,5
2025-10-20,311,Falcon 9000,4490,291,78,19
2025-07-14,312,AeroSwift 1200,6303,343,39,20
2025-08-16,313,SkyForce 6500,6673,126,78,19
2025-07-11,314,SkyRider 1800,4789,57,295,16
2025-09-12,315,AirBlade 11600,4687,318,88,9
2025-10-24,316,JetLiner 3000,7510,209,386,7
2025-09-20,317,AirBlade 11600,4417,207,12,13
2025-08-16,318,AeroJet 17300,7637,237,143,4
2025-08-24,319,FlightWing 22400,4620,364,344,5
2025-09-02,320,JetRider 19700,7379,154,9,10
2025-08-03,321,SkyBlade 23600,7011,343,329,10
2025-08-02,322,FalconEye 3600,4377,49,122,3
2025-10-13,323,FlightPro 600,6083,38,265,6
2025-10-17,324,SkyMaster 700,4515,127,284,5
2025-10-27,325,CloudDancer 1500,5549,293,250,11
2025-06-10,326,AirWing 5000,6473,286,312,13
2025-06-01,327,JetStream 100,4004,3,250,11
2025-08-06,328,CloudJet 14900,5907,170,247,8
2025-10-10,329,AeroLiner 21500,3060,368,184,5
2025-09-28,330,JetStream 100,6943,178,33,14
2025-09-13,331,CloudMaster 19100,5030,229,321,2
2025-10-08,332,CloudJet 23300,5189,241,378,19
2025-08-09,333,AeroRider 23000,7438,177,164,5
2025-10-30,334,AeroSwift 1200,3467,107,210,11
2025-07-18,335,AeroForce 10400,7851,236,375,16
2025-07-30,336,FleetSwift 11900,6544,25,27,8
2025-07-28,337,SkyWave 12200,5431,113,135,16
2025-10-12,338,JetStream 100,5985,61,12,13
2025-06-01,339,AeroLiner 21500,3753,83,321,2
2025-07-31,340,Skyhawk 2000,6498,236,8,9
2025-10-19,341,Thunderbird X,7411,400,270,11
2025-10-14,342,AeroLiner 13100,4550,163,155,16
2025-09-08,343,CloudMaster 10700,6097,62,61,2
2025-09-02,344,JetForce 23900,4453,225,393,14
2025-06-24,345,AeroJet 5900,7749,58,59,20
2025-09-23,346,SkySwift 13400,7737,272,117,18
2025-10-24,347,Thunderbird X,3115,202,334,15
2025-09-17,348,SkyPro 9200,5589,304,37,18
2025-08-20,349,SkyHawk 3300,6442,361,19,20
2025-10-10,350,AirSwift 7400,6939,84,206,7
2025-06-05,351,FleetMaster 2500,5452,289,41,2
2025-10-05,352,JetStream 100,6430,141,126,7
2025-09-16,353,Starjet 500,3071,20,202,3
2025-07-28,354,CloudJet 14900,6091,165,280,1
2025-07-18,355,AeroJet 17300,4419,56,118,19
2025-07-08,356,ThunderBlade 17900,6396,196,145,6
2025-08-08,357,CloudJet 23300,3018,238,210,11
2025-06-23,358,FleetJet 16100,4601,125,102,3
2025-10-04,359,JetLiner 3000,4900,371,311,12
2025-08-19,360,FlightWing 22400,5394,398,187,8
2025-07-31,361,StarCruiser 3900,4799,287,307,8
2025-09-01,362,AirWing 5000,3405,325,230,11
2025-06-10,363,Thunderbird X,6112,343,47,8
2025-06-15,364,SkyBlade 15200,3665,334,111,12
2025-10-11,365,StarRider 17000,5920,89,346,7
2025-07-05,366,StarJet 21200,3529,44,298,19
2025-06-01,367,FleetBlaster 7100,6790,119,84,5
2025-07-11,368,AeroBlade 300,3268,144,65,6
2025-07-13,369,ThunderBlade 22100,6103,136,197,18
2025-10-11,370,FalconMaster 12500,3727,88,340,1
2025-08-06,371,SkyWave 12200,5219,293,62,3
2025-07-01,372,SkyHawk 3300,5954,333,369,10
2025-06-24,373,ThunderRider 9500,4118,73,198,19
2025-08-01,374,JetRider 19700,3391,328,380,1
2025-07-26,375,StarJet 12800,3784,21,36,17
2025-07-06,376,StarRider 17000,6391,160,248,9
2025-06-13,377,SkyLiner 8000,5365,168,170,11
2025-08-22,378,AirBlade 11600,3622,56,103,4
2025-07-30,379,WingRider 18500,6841,86,316,17
2025-06-11,380,CloudRider 6200,5638,209,131,12
2025-06-08,381,AirSwift 7400,7534,356,219,20
2025-07-12,382,FlightWing 22400,3985,217,251,12
2025-10-11,383,FlightWing 14000,7158,189,346,7
2025-09-10,384,AirRider 15800,5165,109,249,10
2025-09-22,385,SkyWave 12200,5703,236,181,2
2025-07-04,386,CloudRider 6200,5955,356,299,20
2025-07-30,387,FleetSwift 20300,4937,187,159,20
2025-10-12,388,SkySwift 16400,7898,140,72,13
2025-08-14,389,SkyMaster 17600,6965,108,25,6
2025-09-04,390,FalconBlade 16700,7733,71,73,14
2025-08-02,391,ThunderBlade 13700,7632,201,271,12
2025-10-02,392,CloudDancer 1500,7847,307,242,3
2025-06-29,393,AeroForce 10400,4363,236,253,14
2025-10-01,394,SkyHawk 3300,7604,181,243,4
2025-08-31,395,FleetJet 24500,5734,384,35,16
2025-08-30,396,FlightPro 600,3774,142,32,13
2025-10-10,397,AeroForce 10400,6856,370,242,3
2025-09-20,398,SkyBlaster 19400,3323,51,357,18
2025-10-27,399,WingForce 22700,4670,275,386,7
2025-09-15,400,FalconWing 8300,4582,23,202,3
2025-10-21,401,SkyLiner 8000,4874,357,40,1
2025-08-08,402,ThunderBlade 17900,5579,393,313,14
2025-09-05,403,StarCruiser 3900,4525,392,375,16
2025-10-15,404,JetStream 100,7700,64,214,15
2025-08-23,405,JetWave 4800,3933,381,251,12
2025-09-16,406,AirWing 400,7165,28,209,10
2025-10-25,407,StarCruiser 3900,5417,393,327,8
2025-08-27,408,StarCruiser 3900,7145,231,367,8
2025-09-27,409,SkyBlazer 4500,7683,192,365,6
2025-07-08,410,CloudMaster 19100,5453,309,21,2
2025-08-06,411,FleetJet 16100,6095,204,185,6
2025-09-09,412,AeroMax 4200,4712,176,81,2
2025-07-10,413,AeroLiner 21500,6435,184,287,8
2025-06-19,414,JetWave 4800,6905,30,244,5
2025-07-04,415,SkyBlaster 11000,6058,311,20,1
2025-08-13,416,StarCruiser 3900,7725,141,46,7
2025-07-09,417,AirRider 24200,7597,371,27,8
2025-06-28,418,FlightWing 14000,7140,36,142,3
2025-09-21,419,FalconWing 8300,7090,64,377,18
2025-10-22,420,SkyBlade 15200,3709,153,214,15
2025-10-28,421,AirForce One 2800,4206,139,170,11
2025-06-30,422,FalconWing 8300,3521,334,240,1
2025-10-18,423,FlightMaster 5300,6286,28,305,6
2025-10-01,424,WingRider 18500,4844,166,308,9
2025-07-08,425,WingForce 22700,6524,226,251,12
2025-09-25,426,JetMaster 7700,4828,180,311,12
2025-10-25,427,AeroRider 14600,4868,148,121,2
2025-06-29,428,FalconBlade 16700,7401,146,76,17
2025-09-28,429,Skyhawk 2000,4060,68,76,17
2025-08-04,430,JetLiner 3000,5985,112,159,20
2025-09-21,431,SkySwift 16400,5072,277,16,17
2025-07-12,432,FalconWing 8300,4455,117,207,8
2025-06-26,433,JetMaster 7700,6851,46,65,6
2025-07-18,434,CloudRider 6200,6024,165,313,14
2025-07-27,435,SkyForce 6500,7683,177,264,5
2025-09-29,436,CloudJet 14900,7019,272,386,7
2025-10-05,437,JetRider 19700,6340,15,333,14
2025-09-02,438,AirWing 5000,7788,127,218,19
2025-10-15,439,SkySwift 21800,6065,212,131,12
2025-06-24,440,SkyBlaster 19400,3854,227,198,19
2025-06-30,441,FalconMaster 12500,5455,396,219,20
2025-07-24,442,CloudRider 6200,7039,360,229,10
2025-07-14,443,FlightBlade 9800,5095,396,94,15
2025-07-31,444,FleetJet 16100,7914,185,94,15
2025-09-26,445,AirRider 15800,3784,161,101,2
2025-10-10,446,SkyBlaster 19400,3038,256,45,6
2025-08-01,447,SkyMaster 17600,4804,265,228,9
2025-08-10,448,FlightWing 14000,7853,301,226,7
2025-08-06,449,ThunderBlade 22100,3551,139,370,11
2025-08-31,450,JetForce 23900,3274,88,307,8
2025-08-12,451,StarJet 12800,7184,91,62,3
2025-07-17,452,ThunderRider 9500,3847,294,131,12
2025-10-13,453,StarCruiser 3900,6898,285,106,7
2025-06-09,454,AeroSwift 1200,7181,225,53,14
2025-07-28,455,SkyBlaster 19400,4361,126,301,2
2025-06-26,456,ThunderBlade 17900,7454,335,257,18
2025-07-21,457,FleetSwift 20300,4054,129,286,7
2025-09-16,458,WingForce 22700,3828,367,57,18
2025-09-26,459,CloudRider 6200,7757,132,42,3
2025-07-03,460,SkySwift 16400,6645,29,312,13
2025-07-05,461,ThunderBlade 13700,7206,331,94,15
2025-10-11,462,SkyMaster 700,5348,258,194,15
2025-08-14,463,JetRider 11300,5954,379,73,14
2025-06-02,464,AirBlade 20000,7230,68,188,9
2025-07-26,465,SkyLiner 8000,4142,30,121,2
2025-08-22,466,AeroJet 17300,7436,342,388,9
2025-09-15,467,AeroMax 4200,5423,221,399,20
2025-09-18,468,AirBlade 20000,3149,284,13,14
2025-06-02,469,AirForce One 2800,4504,142,87,8
2025-06-02,470,SkyRider 1800,6338,140,43,4
2025-07-27,471,JetWave 4800,7173,39,236,17
2025-09-25,472,CloudDancer 1500,7919,187,214,15
2025-07-07,473,AirRider 15800,7280,94,31,12
2025-10-12,474,SkyWave 20600,5153,263,164,5
2025-07-24,475,JetLiner 3000,4360,54,160,1
2025-09-04,476,SkyBlaster 19400,6436,252,374,15
2025-07-23,477,SkyBlade 23600,6152,245,103,4
2025-09-23,478,FleetJet 16100,6400,292,242,3
2025-08-13,479,JetForce 23900,6396,224,106,7
2025-07-12,480,WingJet 10100,7186,226,320,1
2025-07-01,481,FlightMaster 5300,4008,222,213,14
2025-06-14,482,CloudJet 23300,6879,82,345,6
2025-06-03,483,StarCruiser 3900,6324,18,15,16
2025-09-08,484,SkyHawk 3300,5914,317,39,20
2025-09-26,485,AeroStream 8900,7003,90,73,14
2025-09-04,486,FlightWing 22400,7007,263,26,7
2025-08-16,487,SkyMaster 700,4503,164,364,5
2025-07-07,488,SkyBlazer 4500,6117,188,267,8
2025-07-25,489,WingJet 10100,4118,371,92,13
2025-08-24,490,AirRider 15800,6714,85,299,20
2025-10-17,491,StarForce 8600,6207,171,146,7
2025-08-16,492,FalconBlade 16700,7416,153,107,8
2025-07-27,493,AirForce One 2800,6993,67,122,3
2025-09-24,494,AeroStream 8900,5912,212,96,17
2025-10-11,495,JetForce 15500,4616,98,55,16
2025-08-17,496,StarJet 21200,5708,209,191,12
2025-06-10,497,FalconMaster 20900,7081,116,27,8
2025-08-14,498,AeroStream 8900,5377,92,87,8
2025-08-11,499,ThunderWing 6800,3465,132,239,20
2025-10-02,500,FalconMaster 20900,5134,390,357,18
2025-09-12,501,SkySwift 16400,6667,218,214,15
2025-10-18,502,CloudRider 6200,4939,24,314,15
2025-06-05,503,FlightBlade 9800,6746,56,226,7
2025-08-15,504,FalconMaster 12500,6157,248,191,12
2025-08-11,505,SkySwift 13400,4317,171,229,10
2025-06-05,506,AeroSwift 18800,7324,286,48,9
2025-07-15,507,StarRider 17000,4018,261,122,3
2025-10-16,508,AeroRider 23000,5693,29,204,5
2025-07-02,509,WingForce 14300,6413,282,252,13
2025-08-12,510,CloudRider 6200,3436,373,322,3
2025-09-12,511,SkyLiner 8000,7565,298,333,14
